U,I,U_,I_
24.8,26.5,-0.0,0.0
22.3,25.8,-1.6,-4.4
19.7,25.0,-3.0,-8.2
17.1,24.2,-4.7,-12.4
15.3,23.6,-6.5,-16.1
12.6,22.4,-8.8,-19.7
10.4,20.8,-10.5,-21.7
8.1,18.4,-13.0,-23.7
6.8,16.5,-15.1,-24.7
5.0,13.4,-18.0,-25.7
3.5,9.9,-20.3,-26.4
2.2,6.7,-22.2,-27.1
0.8,2.9,-24.9,-27.9
0.0,0.0,-0.0,0.0
