U,I,U_,I_
24.9,53.3,-0.0,0.0
22.3,51.9,-1.5,-7.5
19.8,50.5,-3.0,-14.9
16.3,48.0,-4.6,-21.9
13.7,45.1,-5.7,-26.5
10.9,40.2,-7.5,-32.9
8.2,33.7,-9.5,-39.0
6.4,28.3,-11.4,-43.8
4.5,21.4,-13.9,-48.7
2.9,14.8,-17.0,-52.7
1.1,5.5,-19.6,-54.8
0.0,0.0,-22.2,-56.5
0.0,-0.0,-24.9,-57.9
