V,errV,I,errI
0.776,0.005,0.543,0.005
0.556,0.005,0.485,0.005
0.363,0.005,0.406,0.006
0.089,0.005,0.286,0.009
-0.016,0.005,0.239,0.01
-0.141,0.005,0.179,0.014
-0.444,0.005,0.089,0.028
