V,errV,I,errI
1.423,0.006,0.572,0.004
1.075,0.005,0.508,0.005
0.765,0.005,0.432,0.006
0.416,0.005,0.349,0.007
0.126,0.005,0.283,0.009
0.006,0.005,0.212,0.012
-0.122,0.005,0.173,0.014
-0.748,0.005,-0.105,0.024
