V,errV,I,errI
0.907,0.005,0.606,0.004
0.658,0.005,0.536,0.005
0.42,0.005,0.44,0.006
0.247,0.005,0.367,0.007
0.016,0.005,0.245,0.01
-0.367,0.005,0.084,0.03
