Q,R
3.50,22.41
12.37,22.45
23.25,22.50
44.65,22.61
58.77,22.68
86.61,22.82
122.65,23.00
168.43,23.22
206.59,23.40
230.51,23.52
274.50,23.73
310.67,23.90
353.92,24.11
