t,U
0,10.8683
0.972,10.8531
1.965,10.8406
2.966,10.8269
3.966,10.8139
4.966,10.8018
5.966,10.7874
6.966,10.7748
7.965,10.762
8.965,10.747
9.966,10.7339
10.966,10.7197
11.966,10.7068
12.966,10.6937
13.966,10.6795
14.965,10.6669
15.966,10.6524
16.965,10.6386
17.965,10.6255
18.965,10.6115
19.965,10.5983
20.964,10.5846
21.965,10.5704
22.964,10.5576
23.964,10.544
24.965,10.5306
25.965,10.5173
26.964,10.5042
27.965,10.4907
28.964,10.4762
29.965,10.4631
30.965,10.4499
31.964,10.4366
32.965,10.4229
33.965,10.4099
34.964,10.3969
35.965,10.3834
36.965,10.3708
37.964,10.358
38.964,10.3438
39.964,10.3308
40.964,10.3187
41.965,10.3049
42.965,10.2913
43.965,10.2782
44.965,10.2648
45.965,10.2514
46.964,10.2393
47.964,10.2255
48.965,10.2119
49.965,10.2001
50.965,10.1859
51.964,10.1726
52.965,10.1583
53.964,10.1457
54.965,10.1335
55.965,10.1207
56.965,10.1068
57.965,10.0943
58.964,10.0815
59.965,10.0691
60.965,10.0555
61.964,10.0427
62.965,10.0296
63.965,10.0176
64.965,10.0045
65.966,9.9925
66.965,9.9798
67.966,9.9678
68.966,9.9557
69.966,9.9433
70.966,9.9306
71.966,9.9181
72.966,9.9062
73.965,9.8938
74.966,9.8822
75.966,9.8701
76.966,9.8568
77.966,9.8457
78.965,9.8329
79.966,9.8206
80.966,9.8087
81.966,9.7967
82.965,9.7845
83.966,9.7723
84.966,9.7602
85.965,9.7478
86.966,9.7365
87.966,9.7238
88.966,9.7116
89.966,9.6991
90.966,9.6878
91.966,9.6768
92.965,9.6644
93.966,9.6511
94.966,9.6406
95.966,9.6283
96.965,9.6165
97.966,9.6043
98.966,9.5923
99.966,9.5807
100.966,9.5686
101.966,9.5565
102.966,9.5452
103.966,9.5328
104.966,9.5204
105.966,9.5095
106.966,9.4969
107.966,9.4837
108.966,9.4725
109.966,9.4595
110.966,9.4472
111.966,9.4373
112.966,9.4242
113.966,9.4126
114.966,9.4005
115.966,9.3883
116.966,9.3763
117.966,9.3648
118.967,9.3531
119.966,9.3419
120.966,9.3302
121.965,9.3187
122.966,9.3075
123.965,9.2957
124.966,9.2848
125.965,9.2733
126.966,9.2628
127.966,9.2515
128.966,9.2388
129.966,9.2285
130.966,9.2176
131.966,9.2058
132.966,9.1943
133.966,9.1822
134.966,9.1716
135.965,9.1604
136.966,9.1492
137.966,9.1381
138.966,9.1282
139.966,9.1165
140.966,9.1056
141.966,9.0948
142.966,9.0837
143.965,9.073
144.966,9.0608
145.966,9.0493
146.965,9.0375
147.966,9.027
148.966,9.0151
149.966,9.0032
150.965,8.9915
151.966,8.9802
152.966,8.9688
153.966,8.957
154.965,8.9464
155.966,8.9342
156.966,8.9233
157.973,8.9162
158.966,8.9022
159.969,8.8912
160.966,8.8818
161.966,8.8707
162.966,8.8604
163.966,8.8503
164.966,8.8391
165.966,8.8289
166.966,8.8186
167.966,8.8074
168.966,8.7975
169.966,8.7857
170.966,8.775
171.966,8.765
172.966,8.755
173.966,8.745
174.965,8.7345
175.965,8.7232
176.966,8.7121
177.966,8.7015
178.966,8.6895
179.966,8.6745
180.966,8.6677
181.966,8.6578
182.966,8.6466
183.966,8.6364
184.966,8.6255
185.966,8.6147
186.965,8.6046
187.966,8.5936
188.966,8.5823
189.966,8.5721
190.966,8.5611
191.966,8.55
192.966,8.5403
193.965,8.5296
194.966,8.5186
195.966,8.5083
196.966,8.4979
197.966,8.4874
198.967,8.478
199.966,8.4672
200.966,8.4577
201.966,8.4479
202.966,8.4376
203.966,8.428
204.966,8.4172
205.966,8.4076
206.966,8.3972
207.966,8.3874
208.965,8.3769
209.966,8.3673
210.966,8.3571
211.966,8.3474
212.966,8.3376
213.966,8.327
214.966,8.317
215.966,8.3068
216.966,8.2963
217.966,8.287
218.966,8.2777
219.966,8.268
220.966,8.2581
221.966,8.2477
222.966,8.2366
