t,U
520,8.8131
520.999,8.8086
522,8.8039
523,8.7988
524,8.7933
525,8.7884
526,8.7842
526.999,8.7784
527.999,8.7732
529,8.7681
530,8.7638
531,8.7587
532,8.7529
533,8.7477
534,8.7428
535,8.7383
536,8.732
537,8.7282
538,8.7223
539,8.7177
540,8.7123
541,8.7072
542,8.7016
543,8.6971
544,8.6913
545,8.6863
546,8.682
547,8.6758
548,8.6723
549,8.6664
550,8.6607
551,8.6566
552,8.6519
553,8.6477
554,8.643
555,8.6387
556,8.6327
557,8.6283
558,8.6231
559,8.6181
560,8.6132
561,8.6072
562,8.6021
563,8.5966
564,8.5907
565,8.5853
566,8.5801
567,8.5749
568,8.5694
569,8.5647
570,8.559
570.999,8.5537
571.999,8.5485
572.999,8.5435
574,8.538
575,8.5324
576,8.527
577,8.5221
578,8.5172
579,8.5127
580,8.5086
581,8.5048
582,8.5002
583,8.4963
584,8.4902
585,8.4859
585.999,8.482
587,8.4771
588,8.4728
589,8.4689
590,8.4642
591,8.4605
592,8.455
592.999,8.4501
594,8.4449
595,8.4394
596,8.4342
597,8.4288
598,8.4235
599,8.4189
600,8.414
601,8.408
602,8.4028
603,8.3978
604,8.3923
605,8.3895
606,8.3854
607,8.3807
608,8.376
609,8.3718
610,8.3685
610.999,8.3638
611.999,8.3587
613,8.3543
614,8.3466
615,8.3415
616,8.3366
617,8.3317
618,8.3279
618.999,8.3218
619.999,8.3164
621,8.3108
622,8.3059
623,8.301
624,8.2972
625,8.2925
626,8.2889
627,8.2844
628,8.2809
629,8.2757
630,8.2716
631,8.2672
632,8.2633
633,8.2583
634,8.2516
635,8.2462
636,8.24
637,8.2356
638,8.23
639,8.2231
640,8.2185
641,8.2139
641.999,8.208
643,8.2049
644,8.2
645,8.1962
646,8.192
647,8.1871
648,8.1821
649,8.178
650,8.1732
650.999,8.1683
652,8.1633
653,8.158
654,8.1534
655,8.1477
656,8.1418
657,8.1359
658,8.1313
658.999,8.1273
659.999,8.1206
661,8.1158
662,8.1118
663,8.1078
664,8.105
665,8.1003
666,8.0957
667,8.092
668,8.0875
669,8.0839
670,8.0797
671,8.0749
672,8.07
672.999,8.0649
674,8.0597
675,8.0542
676,8.0496
677,8.045
678,8.0398
678.999,8.0343
679.999,8.0289
680.999,8.0248
682,8.0204
683,8.0167
684,8.0129
685,8.0091
686,8.0047
687,8.0001
688,7.9962
689,7.9912
690,7.9877
691,7.9826
692,7.9775
693,7.9717
694,7.9662
695,7.9611
696,7.9565
697,7.9508
698,7.9459
699,7.941
700,7.936
701,7.9322
702,7.9288
703,7.9253
704,7.9202
705,7.9173
705.999,7.9126
707,7.9088
708,7.9054
709,7.9005
710,7.8952
711,7.8899
712,7.8839
713,7.8793
714,7.8748
715,7.8696
715.999,7.8642
717,7.8591
718,7.8542
719,7.8498
720,7.8456
721,7.8419
722,7.8382
722.999,7.8341
724,7.83
725,7.8261
726,7.823
727,7.8184
728,7.8142
729,7.8105
730,7.8051
731,7.8006
732,7.7953
733,7.7903
734,7.7858
735,7.7817
735.999,7.7763
737,7.7711
738,7.7665
739,7.7622
740,7.7592
741,7.7553
742,7.7519
743,7.748
744,7.7446
744.999,7.7403
746,7.7364
747,7.7318
748,7.7279
749,7.7196
750,7.7159
751,7.7111
752,7.7064
753,7.7016
754,7.6963
755,7.6918
756,7.6876
757,7.6834
757.999,7.6794
759,7.6764
760,7.6722
761,7.6683
762,7.6635
763,7.6601
764,7.6561
765,7.6522
766,7.6464
767,7.6416
768,7.636
768.999,7.6317
770,7.6268
771,7.6216
772,7.6167
773,7.6129
774,7.6088
775,7.6058
776,7.602
777,7.5987
778,7.5946
779,7.5902
780,7.5872
781,7.5831
782,7.5785
783,7.5746
784,7.5692
785,7.5649
786,7.5604
787,7.5564
788,7.5508
789,7.5461
790,7.5411
791,7.5364
792,7.533
793,7.5291
794,7.5259
795,7.5222
796,7.5196
797,7.5155
797.999,7.5117
799,7.5088
800,7.5053
801,7.5013
802,7.4974
803,7.4931
804,7.488
805,7.4841
806,7.4791
807,7.4741
808,7.4699
809,7.465
810,7.4601
810.999,7.4564
811.999,7.4515
813,7.4475
814,7.4422
815,7.438
816,7.433
817,7.4293
818,7.4248
819,7.4211
820,7.4172
821,7.4143
821.999,7.41
822.999,7.4063
824,7.4023
825,7.3976
826,7.3942
827,7.3905
828,7.3866
829,7.3829
830,7.3794
831,7.3738
832,7.3708
833,7.367
834,7.3632
