t,U
0,12.2707
1,12.2617
1.999,12.2533
2.999,12.2442
4,12.2351
5,12.2263
6,12.217
7,12.208
8,12.1997
8.999,12.1906
9.999,12.1815
10.999,12.1731
11.999,12.1632
13,12.1535
13.999,12.1469
15,12.1319
16,12.1243
17,12.1189
18,12.1108
19,12.1025
19.999,12.0925
21,12.0833
22,12.0748
22.999,12.0657
23.999,12.0565
24.999,12.0483
26,12.0402
27,12.0319
28,12.0241
28.999,12.0145
30,12.0062
30.999,11.9983
32,11.9894
33,11.982
34,11.9729
35,11.9639
36,11.9559
36.999,11.9472
38,11.9388
39,11.93
39.999,11.921
41,11.9123
42,11.9026
43,11.8942
44,11.8857
45,11.8766
46,11.8686
47,11.8597
48,11.8507
49,11.8424
50,11.8333
50.999,11.825
52,11.8156
53,11.8078
54,11.7994
55,11.7919
56,11.7839
57,11.7763
58,11.7684
58.999,11.7604
60,11.7523
60.999,11.7441
62,11.7364
62.999,11.7279
64,11.7209
64.999,11.7128
66,11.7049
67,11.6969
68,11.6888
69,11.6798
69.999,11.6714
71,11.6626
72,11.6536
73,11.645
73.999,11.6355
75,11.6278
76,11.6187
77,11.6104
78,11.6016
78.999,11.5942
80,11.5849
80.999,11.5777
82,11.5686
82.999,11.5601
84,11.5514
85,11.5442
85.999,11.5357
87,11.528
88,11.5203
89,11.5126
89.999,11.5048
90.999,11.498
92,11.4895
93,11.4809
94,11.4746
95,11.4661
95.999,11.458
97,11.4509
98,11.4442
99,11.4363
100,11.4288
101,11.421
102,11.4127
102.999,11.406
104,11.3982
105,11.3896
106,11.3813
106.999,11.3708
108,11.3647
109,11.3571
109.999,11.3499
111,11.3422
112,11.3347
113,11.327
114,11.3189
115,11.3113
116,11.3025
117,11.2952
118,11.2875
119,11.2796
119.999,11.2717
121,11.2635
121.999,11.2562
123,11.2485
124,11.2412
125,11.2343
126,11.2276
126.999,11.2195
128,11.2129
128.999,11.2049
130,11.1989
131,11.1905
131.999,11.1829
133,11.1758
134,11.1687
134.999,11.1605
136,11.1526
137,11.1464
138,11.1388
139,11.1305
140,11.1241
141,11.1168
142,11.1095
142.999,11.102
144,11.0946
144.999,11.087
146,11.0804
147,11.0734
147.999,11.065
149,11.058
149.999,11.0509
151,11.0436
152,11.0362
153,11.0288
153.999,11.0217
155,11.0142
156,11.0056
157,10.9983
158,10.9907
159,10.984
159.999,10.9765
161,10.9687
162,10.9611
163,10.9524
164,10.9452
165,10.9384
166,10.9312
167,10.9237
168,10.9163
168.999,10.9088
170,10.9009
171,10.8942
172,10.8861
173,10.8799
174,10.8718
175,10.8649
176,10.8567
177,10.8497
178,10.8421
179,10.836
180,10.829
181,10.8236
182,10.8152
183,10.8084
184,10.8011
185,10.7947
186,10.7882
186.999,10.7813
187.999,10.7741
188.999,10.7685
190,10.7614
191,10.7546
192,10.7472
193,10.7407
193.999,10.7333
195,10.7273
195.999,10.7206
197,10.7143
197.999,10.7071
199,10.7003
200,10.6942
201,10.6872
202,10.6807
203,10.6739
204,10.6669
204.999,10.6603
206,10.6533
207,10.6461
207.999,10.6401
209,10.6324
210,10.6256
210.999,10.6183
211.999,10.6112
213,10.604
213.999,10.5962
214.998,10.5892
215.999,10.5824
216.999,10.5746
217.999,10.5679
218.999,10.5612
219.999,10.5541
220.999,10.5476
221.998,10.5404
222.999,10.5329
223.998,10.5262
224.998,10.519
225.999,10.5128
226.998,10.5057
227.999,10.4992
228.999,10.4935
229.998,10.4858
230.999,10.4795
231.998,10.4735
232.999,10.4676
233.999,10.4615
234.999,10.4557
235.998,10.4493
236.999,10.4427
237.999,10.4367
238.998,10.4304
239.999,10.4236
240.998,10.4179
241.999,10.412
242.998,10.4054
243.999,10.3988
244.998,10.3928
245.999,10.3866
246.999,10.38
247.998,10.3733
248.999,10.3663
249.999,10.3606
250.999,10.3521
251.999,10.3464
252.999,10.3367
253.998,10.3324
254.999,10.3245
255.999,10.3189
256.998,10.3134
257.999,10.3064
258.999,10.301
259.998,10.2943
260.999,10.2879
261.999,10.281
262.998,10.2748
263.999,10.2684
264.999,10.2612
265.998,10.2552
266.999,10.2476
267.999,10.2407
268.999,10.2347
269.999,10.2291
270.999,10.2228
271.998,10.2163
272.999,10.2106
273.999,10.2043
274.998,10.1979
275.999,10.1911
276.998,10.1855
277.999,10.1794
278.998,10.1719
279.999,10.167
280.998,10.1609
281.999,10.1538
282.999,10.149
283.999,10.1427
284.999,10.1377
285.999,10.1311
286.999,10.125
287.998,10.1186
288.999,10.1126
289.999,10.1072
290.999,10.1013
291.999,10.0954
292.999,10.0899
293.999,10.0835
294.999,10.0776
295.999,10.071
296.999,10.065
297.999,10.0587
298.999,10.0533
299.999,10.0469
300.999,10.0408
301.999,10.0343
302.999,10.0277
303.998,10.021
304.999,10.0148
305.999,10.008
306.999,10.0021
307.999,9.9962
309,9.9893
310,9.9826
311,9.9759
312,9.9695
313,9.963
314,9.9574
315,9.9511
315.999,9.9454
317,9.9385
318,9.9327
319,9.9263
320,9.9204
321,9.9144
322,9.9083
323,9.9021
323.999,9.8956
325,9.8891
326,9.8824
326.999,9.8768
328,9.8707
329,9.8609
330,9.8554
331,9.8537
332,9.8399
332.999,9.8409
334,9.8364
334.999,9.8298
336,9.8245
337,9.8189
338,9.8151
339,9.8093
340,9.8026
341,9.7964
342,9.7914
342.999,9.7846
344,9.7791
345,9.7729
346,9.7669
346.999,9.761
348,9.755
349,9.7493
350,9.744
351,9.7376
352,9.7317
352.999,9.7261
353.999,9.7213
354.999,9.7147
356,9.7081
357,9.7032
358,9.6971
359,9.6915
360,9.6848
361,9.6796
362,9.6745
363,9.6681
364,9.6631
365,9.6567
366,9.651
366.999,9.6448
368,9.6388
369,9.6332
370,9.6265
371,9.6203
372,9.6141
373,9.6086
374,9.602
375,9.5967
376,9.5915
377,9.5848
378,9.5793
378.999,9.5737
380,9.568
381,9.5618
382,9.5552
383,9.55
384,9.5444
385,9.5385
385.999,9.5333
387,9.5267
388,9.5221
389,9.5154
390,9.5097
391,9.5043
392,9.4981
393,9.4915
394,9.4868
395,9.4809
396,9.4754
397,9.4691
398,9.4625
399,9.4579
400,9.4521
401,9.4466
402,9.4401
403,9.4344
404,9.4289
405,9.4236
406,9.4179
407,9.4119
408,9.4062
408.999,9.4018
410,9.3956
411,9.3899
412,9.3851
413,9.3778
413.999,9.3734
415,9.3674
416,9.3617
417,9.3556
417.999,9.3513
419,9.3454
420,9.3401
421,9.3354
422,9.3299
423,9.3243
424,9.3192
425,9.3145
426,9.3091
427,9.3034
427.999,9.2984
429,9.294
430,9.288
431,9.2838
432,9.278
433,9.2726
434,9.2664
435,9.2613
435.999,9.2562
437,9.2509
438,9.245
439,9.2395
440,9.234
441,9.2279
442,9.2228
442.999,9.2162
444,9.2112
445,9.2054
446,9.2001
446.999,9.1949
448,9.1905
449,9.1842
450,9.1793
451,9.1727
451.999,9.1668
453,9.1621
453.999,9.1564
455,9.1504
456,9.1445
457,9.1388
458,9.1336
458.999,9.1278
460,9.1228
461,9.1174
462,9.1126
462.999,9.1082
464,9.1018
465,9.0978
466,9.093
467,9.0877
468,9.0819
469,9.0777
470,9.0726
471,9.0672
472,9.0628
473,9.0581
474,9.0516
475,9.0481
476,9.043
477,9.0371
478,9.0318
479,9.0258
480,9.0204
481,9.0144
482,9.0089
483,9.0039
484,8.9982
485,8.9926
486,8.9871
487,8.9813
488,8.9768
489,8.9707
490,8.9653
491,8.9595
492,8.9538
493,8.9484
493.999,8.9432
495,8.9384
495.999,8.9341
496.999,8.9289
497.999,8.9244
499,8.9181
499.999,8.9137
500.999,8.9078
502,8.9034
503,8.898
504,8.893
505,8.8885
506,8.8839
507,8.8779
508,8.8735
509,8.8686
510,8.8641
511,8.8585
512,8.8542
513,8.8485
513.999,8.8446
514.999,8.8391
516,8.834
517,8.8287
518,8.8232
519,8.8191
