t,U
0,10.388
0.969,10.3669
1.941,10.3539
2.938,10.3343
3.937,10.3158
4.938,10.2984
5.937,10.2794
6.937,10.2616
7.938,10.2424
8.938,10.2258
9.938,10.208
10.938,10.1899
11.938,10.1724
12.938,10.1539
13.937,10.136
14.938,10.1191
15.937,10.1011
16.938,10.084
17.938,10.0665
18.938,10.0492
19.938,10.0331
20.937,10.0161
21.939,9.9992
22.939,9.9811
23.939,9.9662
24.939,9.9489
25.938,9.9326
26.939,9.9158
27.939,9.8997
28.939,9.8827
29.939,9.8667
30.939,9.8495
31.939,9.8325
32.939,9.8146
33.939,9.7992
34.939,9.7848
35.939,9.7666
36.939,9.7492
37.938,9.7335
38.938,9.7172
39.939,9.7
40.939,9.6833
41.939,9.6668
42.939,9.6499
43.939,9.633
44.939,9.6173
45.939,9.6008
46.938,9.5845
47.939,9.5689
48.939,9.5516
49.939,9.5357
50.939,9.5198
51.939,9.5039
52.939,9.4891
53.939,9.4734
54.939,9.4585
55.939,9.4428
56.938,9.4276
57.939,9.4117
58.939,9.397
59.939,9.3822
60.939,9.3656
61.939,9.3515
62.938,9.3366
63.939,9.3207
64.939,9.306
65.939,9.2909
66.939,9.2769
67.939,9.2618
68.938,9.2482
69.938,9.2308
70.939,9.218
71.939,9.2027
72.939,9.1892
73.939,9.1751
74.939,9.1591
75.939,9.1443
76.939,9.1312
77.939,9.1155
78.939,9.1015
79.939,9.086
80.939,9.0716
81.939,9.0551
82.939,9.0449
83.938,9.0316
84.939,9.0159
85.939,9.0015
86.939,8.9881
87.939,8.9737
88.939,8.9588
89.938,8.9455
90.939,8.9324
91.939,8.9165
92.939,8.904
93.939,8.8899
94.938,8.8758
95.939,8.8614
96.939,8.8501
97.939,8.8371
98.939,8.8247
99.939,8.8119
100.938,8.798
101.939,8.7856
102.939,8.7729
103.939,8.7606
104.939,8.7468
105.939,8.7339
106.939,8.7228
107.939,8.7064
108.939,8.6971
109.939,8.6828
110.938,8.6693
111.939,8.6577
112.939,8.6422
113.939,8.6301
114.938,8.6167
115.939,8.6029
116.939,8.5907
117.939,8.5776
118.939,8.5589
119.938,8.5514
120.939,8.5388
121.939,8.5258
122.939,8.514
123.939,8.501
124.939,8.4892
125.939,8.477
126.939,8.4658
127.939,8.4535
128.939,8.441
129.938,8.4293
130.939,8.4181
131.939,8.4064
132.939,8.3948
133.938,8.3829
134.939,8.3715
135.939,8.3587
136.939,8.346
137.939,8.3337
138.939,8.3219
139.939,8.31
140.939,8.2963
141.939,8.2862
142.939,8.273
143.938,8.262
144.939,8.2492
145.939,8.2366
146.939,8.2252
147.939,8.2147
148.939,8.203
149.939,8.1928
150.939,8.1819
151.938,8.1707
152.939,8.1596
153.939,8.1488
154.939,8.1381
155.939,8.1273
156.939,8.1166
157.939,8.1059
158.939,8.0947
159.939,8.0833
160.939,8.0724
161.939,8.0613
162.939,8.0506
163.939,8.0387
164.939,8.0273
165.938,8.0168
166.939,8.0053
167.939,7.9941
168.939,7.9826
169.939,7.9723
170.939,7.9605
171.939,7.9503
172.939,7.9387
173.939,7.9295
174.939,7.9192
175.939,7.9088
176.939,7.8997
177.939,7.889
178.938,7.8786
179.939,7.8693
180.939,7.8598
181.939,7.8498
182.939,7.8392
183.939,7.8291
184.939,7.8193
185.939,7.8092
186.939,7.7997
187.938,7.7898
188.939,7.779
189.939,7.7693
190.939,7.7596
191.939,7.7484
192.938,7.7392
193.938,7.7283
194.939,7.7183
195.939,7.7079
196.939,7.6979
197.939,7.6887
198.939,7.678
199.939,7.6688
200.939,7.6589
201.939,7.6489
202.939,7.6395
203.939,7.6295
204.939,7.6203
205.939,7.6107
206.939,7.6008
207.939,7.5905
208.939,7.5823
209.939,7.5717
210.939,7.5625
211.939,7.5538
212.939,7.5448
213.939,7.5359
214.939,7.5258
215.939,7.5173
216.939,7.5085
217.939,7.4997
218.939,7.4901
219.939,7.4814
220.939,7.4731
221.939,7.4643
222.939,7.4553
223.939,7.4468
224.939,7.4372
225.939,7.4297
226.939,7.4201
227.939,7.4123
228.939,7.4033
229.939,7.3939
230.939,7.3859
231.939,7.3766
232.939,7.3674
233.939,7.3599
234.939,7.351
235.939,7.3424
236.939,7.3348
237.939,7.3255
238.939,7.3169
239.939,7.3086
240.939,7.3007
241.939,7.2919
242.939,7.2834
243.939,7.2754
244.938,7.2665
245.939,7.2591
246.939,7.2508
247.939,7.2428
248.939,7.2347
249.938,7.2258
250.939,7.2176
251.939,7.21
252.939,7.2007
253.939,7.1935
254.938,7.1863
255.939,7.1778
256.939,7.1701
257.939,7.1613
258.939,7.1539
259.938,7.1473
260.939,7.1386
261.939,7.1314
262.939,7.1236
263.938,7.1161
264.939,7.1091
265.939,7.1008
266.939,7.0932
267.938,7.0856
268.939,7.0782
269.939,7.0705
270.939,7.0629
271.939,7.0549
272.939,7.0474
273.939,7.0402
274.938,7.0327
275.939,7.0256
276.939,7.0186
277.938,7.0102
278.939,7.0035
279.939,6.9959
280.939,6.9894
281.939,6.9815
282.939,6.9748
283.939,6.9672
284.939,6.9596
285.939,6.952
286.939,6.9446
287.939,6.9381
288.939,6.9304
289.939,6.9235
290.939,6.916
291.938,6.9092
292.939,6.9025
293.939,6.8953
294.939,6.8884
295.939,6.8812
296.939,6.8746
297.939,6.8665
298.938,6.8598
299.939,6.8529
300.939,6.8459
301.938,6.8388
302.938,6.8314
303.938,6.8238
304.939,6.8174
305.938,6.8098
306.938,6.8025
307.938,6.7961
308.938,6.7895
309.938,6.7829
310.939,6.776
311.939,6.7691
312.938,6.7642
313.938,6.758
314.939,6.7513
315.938,6.7453
316.938,6.7386
317.939,6.7334
318.938,6.727
319.939,6.7219
320.938,6.715
321.939,6.7093
322.938,6.7045
323.939,6.6972
324.938,6.6921
325.938,6.6855
326.939,6.6796
327.938,6.6739
328.939,6.6672
329.938,6.6602
330.939,6.6544
331.938,6.6479
332.938,6.6417
333.938,6.6354
334.939,6.6291
335.938,6.6242
336.938,6.6185
337.938,6.612
338.939,6.6062
339.938,6.5988
340.938,6.5929
341.938,6.5867
342.938,6.5808
343.939,6.575
344.938,6.5681
345.938,6.5622
346.939,6.5556
347.939,6.5493
348.938,6.5435
349.938,6.5371
350.938,6.5321
351.939,6.5258
352.938,6.5221
353.938,6.5166
354.938,6.51
355.938,6.5043
356.938,6.5002
357.938,6.4948
358.938,6.4888
359.938,6.4835
360.938,6.4793
361.938,6.4736
362.938,6.4679
363.938,6.4617
364.938,6.4564
365.938,6.4519
366.938,6.446
367.938,6.4408
368.939,6.4354
369.938,6.4287
370.938,6.4246
371.939,6.4191
372.938,6.4118
373.938,6.4071
374.938,6.4018
375.939,6.3942
376.939,6.3902
377.938,6.3852
378.938,6.3793
379.938,6.3747
380.938,6.3689
