t,U
253,10.7841
254,10.7742
255,10.7651
255.999,10.7568
257,10.7466
258,10.7375
259,10.7279
260,10.7186
261,10.7113
262,10.6969
263,10.691
264,10.6834
265,10.6717
266,10.6637
267,10.6559
268,10.6466
269,10.6392
269.999,10.6299
271,10.6217
271.999,10.6127
273,10.6045
273.998,10.5964
274.999,10.5871
275.999,10.5786
276.998,10.5707
277.999,10.5617
278.999,10.5545
279.998,10.5455
280.999,10.537
281.999,10.5289
282.998,10.5198
283.998,10.5112
284.999,10.5014
285.999,10.4923
286.999,10.4834
287.999,10.475
288.998,10.4669
289.999,10.4565
290.999,10.4489
291.999,10.4403
292.998,10.4317
293.999,10.4229
294.999,10.4141
295.998,10.4052
296.999,10.3967
297.999,10.3877
298.998,10.3796
299.999,10.371
300.999,10.3616
301.999,10.3528
302.999,10.3449
303.999,10.3363
304.999,10.3277
305.999,10.32
306.999,10.3112
307.998,10.3031
308.999,10.2943
309.998,10.2856
310.999,10.2778
311.999,10.2688
312.999,10.2607
313.998,10.2526
314.999,10.2451
315.999,10.2364
316.999,10.2286
317.999,10.2208
318.999,10.2121
319.998,10.2026
320.999,10.1963
321.999,10.1854
322.999,10.18
323.998,10.1709
324.999,10.163
325.999,10.1544
326.998,10.1468
327.999,10.1395
328.999,10.1315
329.999,10.1234
330.999,10.1151
331.999,10.1067
332.998,10.0987
333.998,10.091
334.999,10.0828
335.999,10.0746
336.999,10.065
337.999,10.0577
338.999,10.0492
339.999,10.0411
340.999,10.0316
341.999,10.0235
342.999,10.0148
343.999,10.0063
345,9.9969
346,9.9896
347,9.98
348,9.9726
349,9.9642
349.999,9.9556
350.999,9.9473
352,9.9392
353,9.9304
354,9.9219
354.999,9.914
356,9.9053
357,9.898
358,9.8902
358.999,9.8818
360,9.8745
361,9.8672
362,9.8595
363,9.852
364,9.8449
365,9.837
366,9.8288
367,9.8203
368,9.8133
369,9.8066
370,9.799
371,9.7903
372,9.7831
373,9.7751
374,9.7676
374.999,9.7593
376,9.7505
377,9.7433
378,9.7341
379,9.7257
380,9.7175
381,9.7107
382,9.7023
383,9.6939
384,9.6858
385,9.6777
386,9.6701
387,9.662
388,9.6547
389,9.6461
389.999,9.6391
391,9.6317
392,9.6241
393,9.6167
394,9.6092
394.999,9.601
396,9.5945
397,9.5876
397.999,9.5804
399,9.5727
400,9.5655
401,9.5583
401.999,9.5509
403,9.5439
404,9.5366
405,9.5292
406,9.5218
407,9.5144
408,9.5056
409,9.4987
410,9.4901
411,9.4829
412,9.4736
413,9.4666
414,9.4588
415,9.4509
416,9.4426
417,9.4354
418.001,9.4265
419,9.4197
420,9.4113
421,9.4045
422,9.3966
423,9.3896
424,9.3827
425,9.3756
426,9.3692
427,9.3628
428,9.3552
429,9.3475
430,9.3412
431,9.3345
432,9.3284
432.999,9.3209
434,9.3134
434.999,9.306
436,9.298
437,9.2901
438,9.2822
439,9.2741
439.999,9.2673
441,9.2591
441.999,9.2516
443,9.2435
444,9.236
445,9.2281
446,9.2212
447.001,9.2158
448,9.2084
449,9.2015
450,9.1941
451,9.1891
452,9.1812
453,9.1734
454,9.1666
455,9.1597
455.999,9.1528
457,9.146
458,9.1385
459,9.1303
460,9.1228
461,9.1145
462,9.1069
463,9.0997
464,9.0916
465,9.0837
465.999,9.0771
467,9.0685
468,9.0615
469,9.0552
470,9.048
470.999,9.041
472,9.0347
473,9.0272
474,9.0216
475,9.0143
476,9.0075
477,9.0015
478,8.9937
479,8.9864
480,8.9791
481,8.9716
482,8.9648
483,8.9574
484,8.9501
484.999,8.9428
486,8.9353
487,8.9283
488,8.9204
489,8.9131
490,8.9061
491,8.8999
492,8.8933
493,8.8881
494,8.8807
495,8.8739
496,8.8681
497,8.8614
498,8.8545
499,8.8478
500,8.8412
501,8.8336
502,8.8277
503,8.8209
504,8.8134
505,8.8064
505.999,8.799
507,8.7914
508,8.7847
509,8.7773
510,8.7701
511,8.7637
512,8.7552
512.999,8.7468
514,8.7415
515,8.7345
516,8.7289
517,8.7223
518,8.7164
519,8.7097
519.999,8.704
521,8.6976
522,8.6919
523,8.6859
524,8.679
525,8.6721
526,8.6655
527,8.6576
528,8.6509
529,8.643
529.999,8.6368
531,8.6291
532,8.6213
533,8.6145
534,8.6074
535,8.6018
536,8.5958
537,8.5898
538,8.5836
539,8.5764
540,8.5703
541,8.5645
542,8.5578
543,8.5517
544,8.5447
544.999,8.5383
546,8.529
547,8.523
548,8.5153
549,8.5081
550,8.5006
551,8.4943
552,8.487
553,8.4798
554,8.4727
555,8.4656
556,8.4592
557,8.4524
558,8.4463
559,8.4406
560,8.4348
561,8.429
562,8.4226
562.999,8.4158
564,8.41
565,8.4036
566,8.3972
567,8.3914
568,8.3857
569,8.3794
570,8.3728
571,8.3657
571.999,8.3583
572.999,8.3518
574,8.3446
575,8.3381
576,8.3309
577,8.3241
578,8.3166
578.999,8.3102
580,8.3028
581,8.2951
582,8.2888
583,8.2838
584,8.2775
585,8.2713
586,8.2655
587,8.2596
588,8.2531
589,8.2472
590,8.2402
591,8.2341
592,8.2284
593,8.2228
594,8.216
595,8.2105
595.999,8.2038
596.999,8.1968
597.999,8.1907
599,8.183
600,8.177
601,8.1702
602,8.1627
602.999,8.1567
604,8.1503
605,8.1437
606,8.1368
607,8.1305
608,8.1234
609,8.1175
609.999,8.1105
611,8.1041
612,8.098
613,8.092
614,8.0855
615,8.0791
616,8.0733
617,8.0676
618,8.0626
619,8.0568
620,8.0503
621,8.0445
622,8.0395
623,8.0341
624,8.0283
624.999,8.0222
626,8.0164
627,8.0106
628,8.0053
629,8.0003
630,7.9945
631,7.9886
632,7.9828
633,7.9766
634,7.9698
635,7.9636
636,7.9566
637.001,7.9499
638,7.9439
639,7.9373
640,7.9317
641,7.9246
642,7.9178
642.999,7.9113
644,7.9047
645,7.8985
646,7.8929
647,7.8862
648,7.8807
649,7.8744
650.004,7.8707
651,7.8644
651.999,7.8593
653,7.8528
654,7.8484
654.999,7.8422
656,7.8367
657,7.8308
658,7.8259
658.999,7.8198
660,7.815
661,7.8089
662,7.8026
663,7.796
664,7.7898
665,7.7836
666,7.777
667,7.7703
667.999,7.7647
669,7.7582
670,7.7513
671,7.7445
672,7.7392
673,7.7327
674,7.7262
674.999,7.7201
676,7.7145
677,7.7093
678,7.7044
679,7.6984
680,7.6924
681,7.6872
682,7.6822
683,7.6768
684,7.6713
685,7.6659
686,7.6597
687,7.6552
687.999,7.6492
689,7.644
690,7.6377
690.999,7.6317
692,7.6252
693,7.6193
694,7.6126
695,7.6066
696,7.5998
696.999,7.594
698,7.5878
699,7.5803
700,7.5744
701,7.5688
702,7.5624
703,7.5577
704,7.5522
705,7.5464
706,7.5418
707,7.5354
708,7.5302
709,7.5249
710,7.5198
711,7.514
712,7.5079
713,7.5018
714,7.4946
715,7.4881
716,7.4818
717,7.4753
717.999,7.4698
719,7.4641
