t,U
0,13.4355
1,13.4259
1.999,13.4143
3,13.4049
4,13.3942
5,13.3831
6,13.3715
7,13.3604
8,13.35
9,13.3372
10,13.3263
11,13.3148
11.999,13.3028
13,13.2926
14,13.2809
14.999,13.2686
15.999,13.2564
16.999,13.2469
18,13.2341
19,13.2232
20,13.2108
21,13.1989
22,13.1871
22.999,13.1755
23.999,13.1633
25,13.1511
25.999,13.1385
26.999,13.127
28,13.1148
29,13.1022
30,13.0916
30.999,13.0807
32,13.0668
33,13.055
34,13.0437
35,13.0317
36,13.0202
37,13.0071
37.999,12.9957
39,12.9837
40,12.9712
41,12.9592
42,12.9471
43,12.935
44,12.9229
44.999,12.9118
46,12.8998
46.999,12.8876
48,12.876
49,12.8634
50,12.8521
51,12.8397
51.999,12.8296
53,12.8127
54,12.8045
55,12.7922
56,12.7795
56.999,12.7683
58,12.7551
59,12.7439
60,12.7327
61,12.7212
61.999,12.7092
63,12.6995
63.999,12.6886
65,12.6777
65.999,12.6656
67,12.6548
68,12.6428
68.999,12.6312
70,12.6199
71,12.61
72,12.6001
73,12.5876
74,12.5762
74.999,12.5658
76,12.5555
77,12.5476
77.999,12.5328
79,12.5234
80,12.5117
80.999,12.5004
82,12.4887
83,12.4776
84,12.4658
85,12.4549
85.999,12.4443
86.999,12.4324
88,12.4213
89,12.41
90,12.3983
91,12.3879
92,12.3761
92.999,12.3657
94,12.3538
95,12.3434
96,12.333
96.999,12.3202
98,12.3095
99,12.2992
100,12.2876
101,12.277
102,12.265
102.999,12.2546
104,12.2434
105,12.233
106,12.2223
107,12.2119
108,12.2011
109,12.1901
109.999,12.1795
111,12.17
112,12.1592
113,12.1482
114,12.1385
114.999,12.1276
116,12.1168
117.001,12.1067
118,12.096
119,12.0858
120,12.0746
121,12.0651
122,12.0536
122.999,12.0438
124,12.0334
125,12.0226
126,12.0125
127,12.0023
128,11.9913
129,11.981
130,11.9714
131,11.9618
131.999,11.9502
133,11.9413
134,11.9303
135,11.9204
136,11.9097
136.999,11.8996
138,11.8892
138.999,11.8797
139.999,11.8683
141,11.8574
141.999,11.8474
143,11.8378
143.999,11.8299
145,11.8188
145.999,11.8072
147,11.7968
148,11.7854
149,11.7747
150,11.7666
150.999,11.7529
152,11.7429
152.999,11.7345
154,11.7228
154.999,11.71
156,11.7007
157,11.6903
158,11.6804
158.999,11.6701
160,11.6601
161,11.6492
162,11.6402
163,11.6302
163.999,11.6199
165,11.6097
166,11.5996
167,11.5902
168,11.5801
168.999,11.5707
170,11.5608
171,11.5521
172,11.5418
173,11.5325
173.999,11.5225
175,11.5131
176,11.5032
176.999,11.4937
178,11.4838
179,11.4743
180,11.4651
180.999,11.4554
182,11.446
182.999,11.4361
184,11.4281
185,11.4177
185.999,11.4088
187,11.3994
188,11.3895
189,11.38
190,11.3706
190.999,11.361
192,11.3516
193,11.3411
194,11.3311
195,11.3216
195.999,11.3124
197,11.3021
198,11.2923
199,11.2829
199.999,11.2723
200.999,11.2631
202,11.2533
203,11.2444
204,11.2351
205,11.2247
206,11.2139
207,11.2054
208,11.1951
209,11.1863
210,11.1745
211,11.1656
212,11.1554
212.999,11.1472
214,11.1386
215,11.1296
216,11.1196
217,11.1123
218,11.0983
219,11.0928
219.999,11.0842
221,11.0747
222,11.0618
223,11.0572
223.999,11.0478
224.999,11.0362
226,11.0287
226.999,11.0197
227.999,11.0104
229,11.0012
230,10.9916
230.999,10.991
232,10.9755
233,10.9609
234,10.9532
234.999,10.945
235.999,10.9346
237,10.9271
238,10.9184
238.999,10.9086
239.999,10.8987
241,10.8909
241.999,10.8817
243,10.8735
244,10.8646
245,10.8563
246,10.8476
246.999,10.8388
248,10.8304
249,10.8212
249.999,10.8118
251,10.8027
252,10.7924
