t,U
0,12.4157
0.986,12.4081
1.986,12.3992
2.985,12.3898
3.986,12.3802
4.985,12.3702
5.985,12.3625
6.985,12.3526
7.986,12.3437
8.985,12.3353
9.985,12.3268
10.985,12.3167
11.986,12.3093
12.985,12.3003
13.986,12.2923
14.986,12.2841
15.986,12.2763
16.986,12.2652
17.986,12.262
18.986,12.2526
19.986,12.2469
20.986,12.2392
21.986,12.2312
22.986,12.2244
23.986,12.2157
24.986,12.2111
25.986,12.2047
26.986,12.1956
27.986,12.1891
28.986,12.1819
29.985,12.1738
30.986,12.1673
31.986,12.1598
32.986,12.1526
33.986,12.1458
34.986,12.1384
35.985,12.1318
36.986,12.1239
37.986,12.1172
38.986,12.1089
39.986,12.101
40.985,12.0942
41.986,12.0869
42.986,12.0788
43.986,12.0726
44.985,12.0655
45.986,12.0592
46.986,12.0514
47.986,12.045
48.986,12.0372
49.986,12.0301
50.986,12.023
51.985,12.0167
52.986,12.0097
53.986,12.0026
54.985,11.9959
55.986,11.9897
56.986,11.9836
57.985,11.9765
58.986,11.9704
59.986,11.9636
60.985,11.9579
61.986,11.9509
62.986,11.9442
63.985,11.9374
64.986,11.931
65.985,11.9246
66.986,11.918
67.986,11.9124
68.986,11.9055
69.985,11.899
70.985,11.8924
71.985,11.8857
72.986,11.8801
73.986,11.8739
74.986,11.866
75.986,11.8588
76.986,11.8526
77.985,11.8453
78.986,11.8389
79.986,11.8316
80.986,11.8239
81.986,11.8176
82.986,11.8098
83.986,11.8033
84.986,11.7955
85.985,11.7887
86.985,11.782
87.986,11.7751
88.985,11.7681
89.986,11.7615
90.985,11.7543
91.986,11.7477
92.986,11.7417
93.986,11.7354
94.986,11.7282
95.985,11.7219
96.986,11.7153
97.985,11.7094
98.986,11.7031
99.986,11.6961
100.986,11.6898
101.986,11.6838
102.986,11.6776
103.986,11.6716
104.985,11.6647
105.986,11.6589
106.986,11.6528
107.985,11.6465
108.986,11.6403
109.986,11.6346
110.985,11.628
111.986,11.6216
112.986,11.6162
113.986,11.6093
114.986,11.6002
115.985,11.5957
116.986,11.5889
117.986,11.5841
118.986,11.5787
119.985,11.5685
120.986,11.5643
121.986,11.5599
122.985,11.5539
123.986,11.5485
124.986,11.5428
125.985,11.5362
126.986,11.5308
127.985,11.5246
128.986,11.5189
129.986,11.5135
130.986,11.5076
131.986,11.501
132.985,11.4964
133.986,11.4901
134.985,11.4843
135.986,11.4772
136.985,11.4723
137.986,11.4652
138.986,11.4595
139.986,11.454
140.986,11.4469
141.986,11.4419
142.986,11.4356
143.985,11.429
144.986,11.4227
145.986,11.4167
146.986,11.4101
147.985,11.4043
148.986,11.3984
149.986,11.3926
150.986,11.3868
151.986,11.3799
152.985,11.3738
153.986,11.3678
154.986,11.363
155.986,11.3569
156.985,11.3512
157.986,11.344
158.986,11.3384
159.986,11.3322
160.985,11.3263
161.986,11.3198
162.986,11.3135
163.986,11.308
164.985,11.3012
165.986,11.2953
166.986,11.2899
167.985,11.2836
168.986,11.2789
169.986,11.2721
170.986,11.2669
171.986,11.2605
172.986,11.2547
173.986,11.2486
174.986,11.2428
175.986,11.2373
176.986,11.2313
177.985,11.2248
178.985,11.2186
179.986,11.2139
180.986,11.2089
181.986,11.2027
182.985,11.1961
183.986,11.1924
184.986,11.1865
185.986,11.1806
186.986,11.174
187.986,11.1674
188.986,11.1625
189.985,11.1554
190.986,11.1487
191.986,11.1442
192.986,11.1375
193.985,11.1312
194.985,11.1246
195.986,11.1185
196.986,11.1123
197.986,11.1073
198.985,11.1014
199.986,11.0956
200.986,11.0889
201.986,11.0836
202.986,11.0779
203.986,11.0726
204.986,11.067
205.985,11.0618
206.986,11.0561
207.986,11.0505
208.986,11.0445
209.985,11.0393
210.986,11.0337
211.986,11.0272
212.985,11.0222
213.986,11.0166
214.986,11.0108
215.986,11.0057
216.986,11.0005
217.985,10.9955
218.985,10.9897
219.986,10.9841
220.986,10.9784
221.986,10.9726
222.986,10.9645
223.985,10.9602
224.986,10.9541
225.986,10.9483
226.986,10.943
227.986,10.9367
228.985,10.9309
229.986,10.9253
230.985,10.9182
231.986,10.913
232.985,10.9062
233.986,10.9005
234.986,10.8944
235.986,10.8876
236.986,10.8812
237.985,10.8761
238.986,10.8704
239.986,10.8652
240.986,10.8593
241.986,10.8539
242.986,10.8494
243.986,10.8439
244.986,10.8391
245.985,10.834
246.986,10.8285
247.985,10.824
248.986,10.8193
249.985,10.8136
250.986,10.8087
251.986,10.8042
252.986,10.7985
253.986,10.7926
254.985,10.7861
255.986,10.7803
256.986,10.774
257.986,10.7681
258.986,10.7619
259.986,10.7569
260.986,10.7516
261.986,10.7454
262.986,10.7404
263.986,10.7337
264.986,10.7282
265.985,10.7236
266.985,10.7183
267.985,10.7136
268.986,10.708
269.986,10.7034
270.986,10.6981
271.985,10.6934
272.986,10.6877
273.986,10.6829
274.986,10.6785
275.986,10.6739
276.986,10.6684
277.986,10.6626
278.986,10.6574
279.986,10.6511
280.986,10.6458
281.986,10.6405
282.986,10.6347
283.986,10.6288
284.985,10.6237
285.986,10.6172
286.985,10.612
287.986,10.6068
288.986,10.6006
289.984,10.5945
290.985,10.5887
291.985,10.5835
292.984,10.5776
293.984,10.5726
294.984,10.5674
295.984,10.5628
296.985,10.5577
