h,v,t,q,p,re,a,qstd,psdt
24.2,20,542.13,36.89152048401675,153.964405,24.72196986613548,2.348587137282871,0.9563126191909845,0.4903325
35.8,21,609.34,34.46351790461811,267.721545,23.094902024656886,2.194015692342404,0.8488393326423819,0.4903325
45.0,26,530.01,49.055678194751046,357.942725,32.87348914282077,3.122981468567973,0.9896564953441926,0.4903325
55.5,28,456.28,61.36582800035067,460.91255,41.122841529190936,3.9066699452731393,1.1630641579735586,0.4903325
64.7,29,380.21,76.27363825254466,551.13373,51.11295391787603,4.855730622198223,1.4153673473245636,0.4903325
75.0,28,307.47,91.06579503691415,652.1422249999999,61.02556390197169,5.79742857068731,1.774263822546775,0.4903325
84.8,30,291.78,102.81719103434096,748.2473949999999,68.9004807913224,6.545545675175627,1.8898094301088852,0.4903325
