Q,R
3.32,20.99
11.83,21.04
22.38,21.09
43.43,21.20
57.50,21.28
85.54,21.42
122.34,21.62
169.74,21.86
209.78,22.07
235.00,22.20
281.78,22.43
320.43,22.63
367.11,22.85
