Q,R
3.41,21.70
12.10,21.75
22.83,21.80
44.06,21.91
58.17,21.98
86.11,22.13
122.55,22.31
169.15,22.55
208.22,22.74
232.80,22.86
278.15,23.08
315.56,23.27
360.41,23.48
